date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:03	69617/69617	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210ff1-1821aaf220e%22	https://www.randomtriviagenerator.com/_next/static/chunks/main-dde2b82a3885b5fdd5a9.js	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/chunks/main-dde2b82a3885b5fdd5a9.js	(from https://www.randomtriviagenerator.com/)
22:19:03	4553/4553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211c9-1821aaf221e%22	https://www.randomtriviagenerator.com/_next/static/chunks/34fce5f1-f3e4869f3f1902b27fe4.js	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/chunks/34fce5f1-f3e4869f3f1902b27fe4.js	(from https://www.randomtriviagenerator.com/)
22:19:06	157775/157775	---MCZ	200	added ('OK')	application/javascript	etag:W/%222684f-184c86f468c%22	https://www.randomtriviagenerator.com/_next/static/chunks/pages/_app-020b75e6bf9c0f4cccef.js	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/chunks/pages/_app-020b75e6bf9c0f4cccef.js	(from https://www.randomtriviagenerator.com/)
22:19:06	68088/68088	---MCZ	200	added ('OK')	application/javascript	etag:W/%22109f8-184c86f4698%22	https://www.randomtriviagenerator.com/_next/static/chunks/4320-143cc5ca7773af43efb5.js	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/chunks/4320-143cc5ca7773af43efb5.js	(from https://www.randomtriviagenerator.com/)
22:19:06	32763/32763	---MCZ	200	added ('OK')	application/javascript	etag:W/%227ffb-18471907542%22	https://www.randomtriviagenerator.com/_next/static/chunks/3837-a19993346f0f6a65eb4d.js	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/chunks/3837-a19993346f0f6a65eb4d.js	(from https://www.randomtriviagenerator.com/)
22:19:07	689727/689727	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a863f-184c86f4698%22	https://www.randomtriviagenerator.com/_next/static/chunks/4075-a9b01db7258da2f70708.js	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/chunks/4075-a9b01db7258da2f70708.js	(from https://www.randomtriviagenerator.com/)
22:19:07	16380/16380	---MCZ	200	added ('OK')	application/javascript	etag:W/%223ffc-1821aaf2222%22	https://www.randomtriviagenerator.com/_next/static/chunks/8463-ea0056b36ce3772f15b2.js	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/chunks/8463-ea0056b36ce3772f15b2.js	(from https://www.randomtriviagenerator.com/)
22:19:09	29002/29002	---MCZ	200	added ('OK')	application/javascript	etag:W/%22714a-184c896b30c%22	https://www.randomtriviagenerator.com/_next/static/chunks/pages/index-68519f955fcd077866ab.js	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/chunks/pages/index-68519f955fcd077866ab.js	(from https://www.randomtriviagenerator.com/)
22:19:09	1987/1987	---MCZ	200	added ('OK')	application/javascript	etag:W/%227c3-184c896b30c%22	https://www.randomtriviagenerator.com/_next/static/OvOc6U8YLv6hGcb_SusDF/_buildManifest.js	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/OvOc6U8YLv6hGcb_SusDF/_buildManifest.js	(from https://www.randomtriviagenerator.com/)
22:19:09	77/77	---MCZ	200	added ('OK')	application/javascript	etag:W/%224d-184c896b30c%22	https://www.randomtriviagenerator.com/_next/static/OvOc6U8YLv6hGcb_SusDF/_ssgManifest.js	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/OvOc6U8YLv6hGcb_SusDF/_ssgManifest.js	(from https://www.randomtriviagenerator.com/)
22:19:10	20416/20416	---M--	200	added ('OK')	font/woff	date:Wed,%2011%20May%202022%2019:24:52%20GMT	https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmSU5fBBc-.woff	C:/Users/Ksenthil/Downloads/trivia/fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmSU5fBBc-.woff	(from https://www.randomtriviagenerator.com/)
22:19:10	51/51	---MCZ	200	added ('OK')	text/plain	date:Fri,%2002%20Dec%202022%2003:19:04%20GMT	https://fonts.googleapis.com/robots.txt		(from https://www.randomtriviagenerator.com/)
22:19:12	36216/36216	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2011%20May%202022%2019:24:41%20GMT	https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmSU5fBBc9.ttf	C:/Users/Ksenthil/Downloads/trivia/fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmSU5fBBc9.ttf	(from https://fonts.googleapis.com/css?family=Roboto:300,400,500,700&display=swap)
22:19:13	36216/36216	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2011%20May%202022%2019:24:42%20GMT	https://fonts.gstatic.com/s/roboto/v30/KFOmCnqEu92Fr1Mu4mxP.ttf	C:/Users/Ksenthil/Downloads/trivia/fonts.gstatic.com/s/roboto/v30/KFOmCnqEu92Fr1Mu4mxP.ttf	(from https://fonts.googleapis.com/css?family=Roboto:300,400,500,700&display=swap)
22:19:14	36460/36460	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2011%20May%202022%2019:24:42%20GMT	https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmEU9fBBc9.ttf	C:/Users/Ksenthil/Downloads/trivia/fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmEU9fBBc9.ttf	(from https://fonts.googleapis.com/css?family=Roboto:300,400,500,700&display=swap)
22:19:15	36052/36052	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2011%20May%202022%2019:24:45%20GMT	https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmWUlfBBc9.ttf	C:/Users/Ksenthil/Downloads/trivia/fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmWUlfBBc9.ttf	(from https://fonts.googleapis.com/css?family=Roboto:300,400,500,700&display=swap)
22:19:16	14635/14635	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:19:10%20GMT	https://www.randomtriviagenerator.com/GET	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/GET	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
22:19:16	356840/356840	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2025%20Aug%202022%2000:26:01%20GMT	https://fonts.gstatic.com/s/materialicons/v139/flUhRq6tzZclQEJ-Vdg-IuiaDsNZ.ttf	C:/Users/Ksenthil/Downloads/trivia/fonts.gstatic.com/s/materialicons/v139/flUhRq6tzZclQEJ-Vdg-IuiaDsNZ.ttf	(from https://fonts.googleapis.com/icon?family=Material+Icons)
22:19:17	0/0	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2002%20Dec%202022%2003:19:11%20GMT	https://www.randomtriviagenerator.com/gpt_and_prebid/	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/gpt_and_prebid/index.html	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
22:19:17	112112/112112	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22148e21f812b555a13b2a9c6b616141f4%22	https://ats.rlcdn.com/ats.js	C:/Users/Ksenthil/Downloads/trivia/ats.rlcdn.com/ats.js	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
22:19:17	14635/14635	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:19:11%20GMT	https://www.randomtriviagenerator.com/choice.js?tag_version=V2	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/choicefdfe.js	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
22:19:17	0/0	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2002%20Dec%202022%2003:19:10%20GMT	https://www.randomtriviagenerator.com/telemetry/	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/telemetry/index.html	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
22:19:18	14635/14635	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:19:12%20GMT	https://www.randomtriviagenerator.com/t.document.referrer	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/t.document.referrer	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
22:19:18	0/0	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2002%20Dec%202022%2003:19:12%20GMT	https://www.randomtriviagenerator.com/prebid/	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/prebid/index.html	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
